ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Z_CostContact,Z_Revenue
10506,1974,PhD,Single,71768.0,0,0,2012-04-15,86,468,77,278,63,12,370,1,10,3,8,8,1,0,0,1,0,0,0,3,11
10507,1954,Graduation,Single,53537.0,1,1,2013-10-22,95,70,46,60,27,42,84,4,1,2,3,1,0,0,0,1,0,0,0,3,11
10508,1973,Graduation,Widow,70318.0,0,0,2012-01-16,65,345,309,196,297,111,242,3,16,6,5,5,0,0,0,0,0,0,0,3,11
10509,1966,Graduation,Together,75748.0,0,0,2014-02-18,0,511,37,417,102,12,243,1,15,3,6,2,0,0,0,0,0,0,0,3,11
10510,1968,Master,Divorced,106831.0,1,0,2012-08-12,31,938,286,487,80,22,374,1,9,15,7,3,0,0,0,0,0,0,0,3,11
10511,1951,Basic,Single,41631.0,0,0,2014-05-02,82,295,22,165,5,15,7,2,2,4,4,2,0,0,0,0,0,0,0,3,11
10512,1970,PhD,Widow,106366.0,0,0,2013-02-28,36,465,329,681,60,123,61,1,17,5,12,2,0,0,0,0,0,1,0,3,11
10513,1975,Master,Widow,82402.0,1,0,2013-05-22,29,78,87,225,205,69,199,1,3,5,5,8,0,0,0,0,0,0,0,3,11
10514,1976,Master,Together,67800.0,1,0,2013-03-05,45,137,122,167,377,78,200,1,3,5,13,3,0,1,0,0,0,0,0,3,11
10515,1962,Master,Single,86883.0,0,0,2013-11-01,37,573,348,1390,814,121,649,3,20,21,18,3,0,0,0,0,0,1,0,3,11
10516,1982,Graduation,Together,70418.0,1,1,2012-07-14,5,825,495,488,18,9,112,3,12,10,13,3,0,0,0,0,0,1,0,3,11
10517,1966,Graduation,Married,21441.0,1,1,2013-03-17,45,76,56,96,4,2,87,3,2,3,4,9,1,0,0,0,0,0,0,3,11
10518,1974,PhD,Widow,95608.0,0,0,2012-08-10,42,752,88,539,44,13,446,1,12,7,10,1,0,0,1,1,0,0,0,3,11
10519,1958,2n Cycle,Divorced,50834.0,1,0,2013-12-08,71,316,32,229,50,17,211,3,9,3,4,4,0,0,0,1,0,0,0,3,11
10520,1958,2n Cycle,Widow,51476.0,0,0,2014-02-10,57,333,85,325,17,128,64,6,3,3,11,6,1,0,1,0,0,1,0,3,11
10521,1986,Graduation,Together,74866.0,1,1,2013-04-28,29,293,15,153,103,83,192,3,7,1,7,1,0,0,0,0,0,0,0,3,11
10522,1958,2n Cycle,Together,88664.0,0,0,2013-07-14,23,843,119,565,207,14,97,0,13,6,7,3,1,0,1,0,0,0,0,3,11
10523,1979,Graduation,Together,30251.0,1,2,2013-10-24,41,39,26,52,5,4,14,5,4,2,3,9,0,1,0,0,0,1,0,3,11
10524,1972,PhD,Together,87490.0,0,0,2012-12-31,25,1436,89,325,139,97,825,2,24,4,21,3,1,0,1,0,0,1,0,3,11
10525,1967,2n Cycle,Divorced,65884.0,0,0,2012-09-04,56,1368,148,312,128,408,157,2,4,15,17,5,1,0,0,0,0,0,0,3,11
10526,1958,Graduation,Widow,53209.0,0,0,2014-05-02,99,208,38,146,201,4,43,4,1,6,5,13,0,0,1,1,0,0,0,3,11
10527,1955,Master,Married,53712.0,1,0,2013-09-10,25,137,13,78,21,1,27,5,1,4,2,2,0,0,0,0,0,0,0,3,11
10528,1980,Graduation,Married,46780.0,1,1,2012-01-23,85,94,16,127,66,9,41,6,1,2,2,7,0,0,0,0,0,0,0,3,11
10529,1971,Basic,Divorced,52310.0,0,1,2013-06-04,46,363,51,292,10,43,58,3,1,3,6,5,0,0,0,0,0,1,0,3,11
10530,1965,Graduation,Married,39359.0,1,2,2013-02-07,22,105,26,45,7,6,30,7,1,1,3,9,0,0,0,0,0,0,0,3,11
10531,1966,PhD,Widow,49184.0,0,1,2012-08-12,55,92,77,87,24,71,5,6,2,1,5,9,0,0,0,0,0,0,0,3,11
10532,1973,Graduation,Married,45946.0,1,0,2013-12-11,33,493,102,303,55,116,198,1,5,4,8,3,1,0,0,1,0,1,0,3,11
10533,1971,Graduation,Together,39390.0,1,2,2013-09-09,57,140,15,39,19,1,20,5,3,1,3,5,0,0,1,0,0,0,1,3,11
10534,1971,Graduation,Together,80057.0,1,0,2013-02-21,51,344,374,346,38,124,260,1,5,8,15,3,0,1,1,0,0,0,0,3,11
10535,1973,Graduation,Single,83569.0,0,0,2012-11-29,71,771,222,419,41,139,401,0,16,6,13,1,0,0,1,0,0,0,0,3,11
10536,1961,Graduation,Widow,31710.0,0,1,2012-07-19,86,109,19,62,36,0,14,8,3,0,4,4,0,0,0,0,0,0,0,3,11
10537,1960,Graduation,Single,86999.0,1,0,2013-07-20,32,303,402,416,24,91,10,1,6,3,7,3,0,0,0,0,0,0,0,3,11
10538,1972,2n Cycle,Together,130068.0,0,0,2014-02-08,35,643,140,560,152,100,80,3,8,3,19,0,0,0,0,0,0,1,0,3,11
10539,1953,Graduation,Divorced,40381.0,1,0,2013-08-15,97,223,31,148,78,68,158,4,2,6,6,6,0,0,0,0,0,0,0,3,11
10540,1956,PhD,Single,41154.0,1,0,2012-01-10,28,167,62,212,25,5,109,2,8,1,4,4,0,0,0,1,0,0,0,3,11
10541,1981,Master,Widow,29289.0,1,1,2013-08-27,85,63,10,78,3,7,1,6,4,2,6,7,0,1,0,0,0,0,0,3,11
10542,1952,Master,Widow,73459.0,1,1,2013-01-28,26,371,46,175,122,37,152,4,4,7,3,2,0,0,0,0,1,0,0,3,11
10543,1957,Graduation,Widow,47407.0,1,0,2013-09-07,18,76,8,71,2,59,2,4,0,0,1,3,0,0,0,0,0,0,0,3,11
10544,1974,Graduation,Married,89540.0,0,0,2012-12-07,41,220,229,384,144,139,487,3,14,6,2,4,0,0,0,0,0,0,0,3,11
10545,1989,Graduation,Together,59969.0,1,1,2013-01-10,1,480,60,153,76,81,58,3,2,6,11,6,0,0,0,0,0,1,0,3,11
10546,1990,Graduation,Married,53812.0,1,1,2013-02-09,29,814,55,209,32,15,92,3,5,3,14,2,0,1,0,0,0,0,0,3,11
10547,1969,PhD,Single,85865.0,0,0,2013-07-16,58,1404,13,497,245,62,131,2,16,4,13,4,0,0,0,0,0,0,0,3,11
10548,1972,PhD,Widow,62130.0,0,2,2014-01-27,37,185,19,91,36,90,8,3,2,0,3,11,0,0,0,0,0,0,0,3,11
10549,1985,Master,Married,85867.0,0,0,2014-03-27,77,182,2,73,10,444,165,2,5,2,7,4,0,0,0,1,1,1,0,3,11
10550,1972,Master,Widow,54806.0,0,1,2012-06-08,0,591,21,558,145,20,102,5,6,6,7,2,1,1,0,0,0,0,0,3,11
10551,1967,Master,Married,102445.0,0,0,2012-03-02,50,579,8,1182,92,66,118,2,15,2,17,0,0,0,0,0,0,0,0,3,11
10552,1962,Graduation,Single,76211.0,0,0,2014-01-19,0,264,88,242,264,51,83,2,7,1,7,2,0,0,1,1,0,0,0,3,11
10553,1955,Master,Together,36451.0,0,0,2013-12-05,47,401,11,376,318,115,56,2,8,1,11,3,0,0,0,0,0,0,0,3,11
10554,1973,Graduation,Widow,110356.0,0,0,2012-09-07,32,331,6,161,152,215,235,1,6,3,8,5,0,0,0,1,0,0,0,3,11
10555,1977,2n Cycle,Together,81974.0,1,0,2012-04-25,31,485,265,399,20,40,140,1,8,3,13,3,0,0,0,0,0,0,0,3,11
10556,1988,PhD,Married,80126.0,0,0,2012-04-23,32,847,46,158,42,95,145,2,7,5,10,5,0,0,1,0,0,0,0,3,11
10557,1973,PhD,Single,59170.0,1,0,2013-02-23,6,458,46,488,24,44,217,2,6,9,6,3,0,0,0,1,0,0,0,3,11
10558,1979,PhD,Married,36753.0,0,1,2012-09-11,89,114,29,48,3,26,12,4,2,1,4,8,0,0,0,0,0,0,0,3,11
10559,1970,PhD,Divorced,75516.0,1,0,2012-05-27,10,621,17,236,159,16,526,3,7,4,15,5,1,0,1,0,0,1,0,3,11
10560,1969,PhD,Married,97330.0,0,0,2013-12-31,0,553,20,227,206,2,42,0,7,2,6,7,1,0,1,0,0,0,0,3,11
10561,1969,2n Cycle,Together,60079.0,0,1,2013-12-05,35,492,49,483,50,24,24,4,6,4,7,3,0,0,0,1,0,1,0,3,11
10562,1962,Graduation,Single,37616.0,0,0,2013-04-21,36,106,136,54,14,71,119,1,1,3,5,5,0,0,1,1,0,1,0,3,11
10563,1977,Master,Widow,38875.0,1,1,2012-02-03,76,40,52,43,48,22,12,8,4,1,8,8,0,0,0,0,0,0,0,3,11
10564,1968,Graduation,Divorced,47153.0,1,1,2012-05-05,46,123,16,82,34,54,21,6,1,2,1,8,0,0,0,1,0,0,0,3,11
10565,1962,Graduation,Widow,29906.0,1,2,2013-09-23,57,135,65,101,10,39,71,5,3,1,4,10,0,0,0,0,0,1,0,3,11
10566,1958,Graduation,Widow,43178.0,0,2,2012-12-03,60,91,21,55,48,6,26,2,2,2,3,8,1,0,0,0,0,0,0,3,11
10567,1966,Graduation,Divorced,96170.0,0,0,2012-12-27,49,643,391,539,150,95,737,2,24,9,6,3,0,0,1,0,1,0,0,3,11
10568,1963,Graduation,Together,75521.0,0,0,2014-01-03,26,450,71,246,16,348,40,3,5,7,11,5,1,0,0,1,0,1,0,3,11
10569,1974,Graduation,Together,45240.0,0,1,2012-08-26,21,92,21,30,16,5,36,3,2,0,2,6,0,0,0,0,0,0,0,3,11
10570,1969,Master,Widow,56571.0,1,0,2014-05-30,20,428,189,119,90,173,44,1,6,2,10,4,1,1,0,0,0,1,0,3,11
10571,1961,PhD,Together,37632.0,1,0,2014-05-14,77,248,85,123,20,19,59,4,5,5,4,5,0,0,0,0,0,1,0,3,11
10572,1974,Graduation,Widow,58421.0,1,0,2013-06-20,45,484,8,251,77,48,14,2,9,5,8,4,0,0,0,0,1,0,0,3,11
10573,1990,PhD,Married,45395.0,0,1,2012-09-19,49,101,4,117,2,47,60,5,8,3,1,6,1,0,0,0,0,1,0,3,11
10574,1962,Basic,Widow,46658.0,1,0,2014-06-08,53,207,63,69,262,24,51,3,5,1,7,5,0,0,0,0,0,0,0,3,11
10575,1968,Graduation,Together,33075.0,1,1,2012-07-09,52,79,4,56,8,4,2,5,1,3,2,4,1,0,1,0,0,0,0,3,11
10576,1964,Graduation,Divorced,36125.0,0,0,2014-02-18,69,125,12,115,10,3,66,2,1,3,4,4,0,0,0,0,0,0,0,3,11
10577,1968,2n Cycle,Widow,53953.0,1,1,2013-01-23,65,136,10,156,4,14,9,4,1,5,3,2,1,0,0,0,0,0,0,3,11
10578,1946,Graduation,Widow,61337.0,1,0,2014-02-12,45,178,121,60,42,9,45,3,2,1,4,3,0,0,0,0,0,0,0,3,11
10579,1982,2n Cycle,Single,75820.0,0,0,2012-09-29,58,520,103,434,62,2,168,4,5,4,16,5,0,0,0,0,0,0,0,3,11
10580,1985,Basic,Married,78880.0,0,0,2013-10-06,63,822,48,414,87,27,149,0,13,4,9,6,0,0,0,1,0,0,0,3,11
10581,1975,Graduation,Single,42646.0,0,2,2013-10-17,37,52,45,62,1,2,11,5,0,1,4,7,0,0,1,0,0,0,0,3,11
10582,1974,Graduation,Divorced,85708.0,0,0,2012-12-01,8,313,40,477,209,21,51,0,4,9,3,4,0,1,0,0,0,1,0,3,11
10583,1978,Basic,Single,62906.0,1,0,2012-01-28,90,1142,306,322,97,197,109,2,5,13,18,8,0,0,0,1,0,0,0,3,11
10584,1953,Graduation,Divorced,47738.0,0,0,2012-09-25,65,230,99,200,63,10,107,6,1,0,7,6,0,1,0,0,0,0,0,3,11
10585,1974,Graduation,Divorced,64363.0,0,1,2013-09-14,94,85,31,53,8,45,17,4,1,1,3,10,0,0,0,0,1,0,0,3,11
10586,1953,Graduation,Married,100584.0,0,0,2013-12-13,47,363,390,323,164,81,11,0,5,1,15,1,0,1,0,0,1,0,0,3,11
10587,1983,Master,Widow,59242.0,1,0,2013-01-14,48,501,42,204,122,31,47,2,11,3,5,5,0,0,0,0,0,1,0,3,11
10588,1955,Master,Together,98781.0,0,0,2014-03-14,0,569,28,335,74,112,91,1,2,7,17,3,0,0,0,1,0,1,0,3,11
10589,1975,2n Cycle,Married,73526.0,0,0,2013-12-06,1,793,453,461,657,186,109,0,21,10,12,2,1,0,1,0,0,0,0,3,11
10590,1953,Graduation,Together,70256.0,1,0,2012-04-01,66,198,17,73,17,34,122,1,4,4,6,2,0,0,0,0,0,0,0,3,11
10591,1968,PhD,Widow,56950.0,0,1,2012-10-27,18,526,25,656,368,58,110,2,13,2,15,4,1,0,0,0,1,0,0,3,11
10592,1968,Master,Divorced,71852.0,0,0,2013-04-16,34,395,72,240,192,74,15,0,7,3,12,4,0,0,0,1,0,0,0,3,11
10593,1975,Graduation,Single,47030.0,1,1,2012-01-17,78,83,11,57,9,15,14,8,8,0,3,10,0,0,0,0,0,0,0,3,11
10594,1962,2n Cycle,Single,97199.0,0,0,2012-09-03,30,572,13,276,552,113,90,2,9,6,9,0,0,0,0,0,0,0,0,3,11
10595,1974,Graduation,Together,66240.0,1,0,2013-11-17,46,133,4,120,145,15,9,5,1,2,4,8,0,0,0,0,0,0,0,3,11
10596,1976,Graduation,Widow,38082.0,1,1,2014-02-07,88,46,74,11,22,49,65,5,2,2,5,8,1,0,0,0,0,0,0,3,11
10597,1967,Graduation,Single,37573.0,0,2,2012-04-29,90,103,14,40,42,49,15,2,2,1,4,5,0,0,0,0,0,0,0,3,11
10598,1939,Master,Married,46335.0,1,0,2013-06-21,50,258,170,222,109,36,54,1,4,2,10,0,1,0,1,1,0,0,0,3,11
10599,1968,Master,Single,34733.0,0,1,2013-03-05,86,66,14,43,0,0,14,5,2,1,2,3,1,0,0,0,0,0,0,3,11
10600,1973,2n Cycle,Married,87383.0,1,1,2014-02-07,16,922,56,262,19,23,506,6,7,6,14,4,0,1,0,0,1,1,0,3,11
10601,1966,PhD,Married,37184.0,0,1,2014-01-19,62,139,69,65,71,23,16,5,3,3,8,5,0,0,0,0,0,0,0,3,11
10602,1965,2n Cycle,Together,44438.0,1,0,2014-05-07,64,274,58,424,76,131,33,5,6,4,4,5,0,1,0,0,0,0,0,3,11
10603,1968,PhD,Married,34272.0,0,1,2014-04-12,55,74,5,133,20,29,13,4,5,1,4,12,0,0,0,0,0,0,0,3,11
10604,1962,2n Cycle,Widow,64801.0,0,1,2013-10-26,47,509,132,124,108,16,22,6,4,4,10,7,0,0,0,0,0,0,0,3,11
10605,1976,2n Cycle,Divorced,43498.0,0,1,2012-08-09,33,35,31,38,10,14,32,6,0,0,1,6,0,0,0,0,0,0,0,3,11
10606,1936,Graduation,Single,58166.0,1,0,2012-08-12,51,377,26,252,8,135,14,4,9,2,3,1,0,0,1,0,0,0,0,3,11
10607,1969,Graduation,Divorced,85482.0,0,0,2014-01-24,0,463,78,552,65,68,192,0,6,2,14,2,0,0,1,0,0,0,0,3,11
10608,1977,Basic,Divorced,42617.0,0,2,2013-09-21,55,45,19,41,0,15,29,4,3,2,3,3,0,1,0,0,1,1,0,3,11
10609,1968,Graduation,Divorced,57150.0,1,0,2013-11-29,39,260,102,170,123,16,79,1,3,4,6,8,1,1,0,0,0,0,0,3,11
10610,1979,Master,Single,36077.0,0,1,2012-09-10,74,125,44,48,46,7,11,6,2,2,3,8,0,0,0,0,0,0,0,3,11
10611,1975,Graduation,Together,46134.0,1,2,2014-04-11,32,46,16,82,2,26,34,2,1,0,1,4,0,0,0,0,0,0,0,3,11
10612,1944,Graduation,Married,61936.0,0,0,2012-06-02,59,302,14,106,69,14,210,2,2,10,9,2,0,0,0,0,0,1,0,3,11
10613,1953,Graduation,Single,42728.0,1,0,2014-01-03,64,136,29,83,21,10,33,2,4,2,1,6,0,1,0,0,1,0,0,3,11
10614,1990,Graduation,Divorced,54778.0,1,0,2012-10-28,37,241,36,131,26,25,54,0,4,4,4,4,0,0,0,0,0,0,0,3,11
10615,1967,PhD,Widow,38835.0,1,1,2012-03-21,67,184,48,157,7,57,18,0,4,2,4,6,0,0,0,0,1,0,0,3,11
10616,1975,Master,Together,53668.0,1,1,2014-01-09,63,265,16,79,22,7,5,5,1,3,3,4,0,0,0,0,1,1,0,3,11
10617,1965,PhD,Widow,44313.0,1,0,2014-04-29,0,336,80,196,35,28,97,2,3,9,8,6,0,0,0,0,0,0,0,3,11
10618,1971,PhD,Married,95152.0,0,0,2014-05-23,7,624,3,287,443,344,197,2,3,14,8,2,0,1,0,0,0,1,0,3,11
10619,1958,Graduation,Together,68347.0,0,0,2012-01-23,75,770,239,472,196,786,336,1,1,21,23,6,0,0,0,1,0,0,0,3,11
10620,1957,Graduation,Widow,33472.0,0,1,2013-02-12,72,161,22,60,42,11,33,9,2,1,3,5,0,0,0,0,0,1,0,3,11
10621,1984,Graduation,Married,60431.0,1,0,2012-11-05,24,461,147,454,52,95,8,2,9,3,8,6,1,0,0,0,0,1,0,3,11
10622,1955,Master,Single,47806.0,0,0,2012-10-29,60,234,7,287,221,94,97,6,6,1,8,11,0,0,1,0,0,0,0,3,11
10623,1974,Master,Divorced,58418.0,1,1,2012-12-16,53,274,75,273,110,22,118,1,4,1,9,5,0,1,0,0,0,0,0,3,11
10624,1960,Graduation,Married,52075.0,1,0,2012-01-18,85,234,113,131,30,33,86,1,3,2,7,6,0,0,1,0,0,0,0,3,11
10625,1975,PhD,Married,58401.0,0,0,2013-03-12,29,245,62,384,47,173,232,1,3,2,7,4,0,0,0,0,0,1,0,3,11
10626,1973,Graduation,Together,28363.0,1,2,2012-03-07,44,111,54,25,36,10,16,9,3,1,2,13,0,0,0,0,0,0,0,3,11
10627,1968,Basic,Widow,105192.0,1,0,2012-07-30,17,705,102,561,120,8,142,1,13,2,11,1,0,0,0,0,0,0,0,3,11
10628,1971,Graduation,Divorced,44175.0,0,1,2013-10-09,45,113,23,39,43,6,63,7,3,1,1,6,0,0,0,0,0,0,0,3,11
10629,1953,2n Cycle,Together,61552.0,1,1,2012-04-21,38,162,182,61,6,60,157,7,6,3,8,7,0,0,1,1,0,0,0,3,11
10630,1952,Master,Together,38210.0,1,1,2013-08-29,56,134,59,53,35,14,121,6,1,4,3,4,0,0,0,0,0,0,0,3,11
10631,1958,Basic,Married,55204.0,0,0,2014-01-23,42,187,131,40,47,257,179,1,6,4,6,3,0,1,0,1,0,1,0,3,11
10632,1971,Master,Single,103028.0,0,0,2014-05-30,26,422,402,349,74,14,51,0,5,8,7,2,1,1,1,0,0,0,0,3,11
10633,1978,PhD,Widow,52886.0,0,0,2013-07-31,79,484,74,379,92,4,27,2,5,3,10,7,0,1,0,0,1,0,0,3,11
10634,1967,Graduation,Married,90165.0,0,0,2014-03-04,6,826,97,422,65,82,206,2,8,12,12,4,0,0,1,0,0,1,0,3,11
10635,1970,Graduation,Together,87931.0,0,0,2013-03-03,35,571,1010,216,219,126,34,0,14,4,25,2,1,0,1,0,0,0,0,3,11
10636,1969,Graduation,Together,54928.0,0,1,2014-03-23,33,57,6,15,13,22,13,5,4,3,1,6,0,0,1,1,1,1,0,3,11
10637,1986,Basic,Married,55840.0,1,1,2013-11-28,78,167,13,55,78,24,57,4,3,4,5,2,0,0,0,0,0,0,0,3,11
10638,1977,PhD,Widow,27241.0,0,1,2014-04-05,82,76,29,55,3,17,36,3,5,3,4,10,0,0,0,0,0,0,0,3,11
10639,1956,PhD,Widow,85629.0,1,1,2014-04-03,32,311,99,376,2,46,152,6,8,3,7,4,1,1,0,0,0,0,0,3,11
10640,1978,Graduation,Together,31644.0,0,1,2013-09-12,42,129,25,45,19,3,12,6,3,3,5,11,0,0,0,0,0,0,1,3,11
10641,1940,Graduation,Married,63268.0,0,0,2012-07-20,66,132,72,80,103,39,181,5,5,0,10,1,0,0,0,0,0,0,0,3,11
10642,1966,Graduation,Single,109280.0,0,0,2012-02-12,21,1382,22,805,300,882,540,2,37,11,11,3,0,1,0,0,0,0,0,3,11
10643,1976,Graduation,Single,53263.0,0,0,2012-10-17,69,425,69,218,222,62,39,3,4,1,14,3,1,1,1,0,0,0,0,3,11
10644,1975,PhD,Married,41940.0,1,1,2012-09-24,31,199,34,107,25,57,25,4,1,1,2,6,0,0,0,0,0,0,0,3,11
10645,1954,Graduation,Together,50894.0,0,0,2014-04-20,75,271,51,95,94,48,71,7,6,1,6,4,0,0,1,0,0,0,0,3,11
10646,1976,Master,Widow,100552.0,0,0,2012-02-03,77,600,393,282,392,56,502,1,10,17,4,2,0,0,1,0,0,0,0,3,11
10647,1973,Graduation,Married,39794.0,1,1,2013-05-04,66,102,16,65,72,11,22,5,1,1,1,7,1,0,0,1,0,1,0,3,11
10648,1979,Graduation,Widow,48272.0,0,1,2014-06-08,43,40,26,219,62,6,34,8,2,5,4,8,1,0,0,0,0,1,0,3,11
10649,1969,Master,Married,91367.0,0,0,2012-09-10,10,755,9,443,123,51,83,1,5,9,8,2,0,0,0,0,0,0,0,3,11
10650,1998,Master,Single,62854.0,0,0,2013-06-05,34,276,97,289,42,80,7,2,3,2,11,4,0,0,0,1,1,1,0,3,11
10651,1963,Graduation,Married,64745.0,1,0,2012-05-22,66,203,9,117,9,58,90,2,3,2,6,3,0,0,0,0,0,0,0,3,11
10652,1960,2n Cycle,Divorced,42677.0,1,1,2013-01-13,25,87,33,29,57,82,4,8,3,1,4,10,1,0,0,1,0,0,0,3,11
10653,1971,Graduation,Single,75245.0,0,0,2014-06-08,31,246,88,409,262,40,12,2,7,4,5,2,0,0,0,0,0,0,0,3,11
10654,1943,Master,Divorced,45528.0,0,0,2013-08-27,54,185,63,217,121,137,89,3,9,2,6,8,1,0,0,1,0,1,0,3,11
10655,1966,Master,Widow,52738.0,0,0,2013-04-26,72,420,663,526,154,9,116,3,20,3,7,1,1,0,0,0,1,0,0,3,11
10656,1948,Graduation,Widow,46419.0,0,0,2014-05-22,92,212,38,79,13,58,29,4,5,1,4,6,0,0,0,0,0,0,0,3,11
10657,1981,Graduation,Divorced,57410.0,0,0,2014-02-15,35,534,12,190,93,32,9,2,6,1,4,5,0,0,1,0,0,0,0,3,11
10658,1980,Graduation,Together,44470.0,0,2,2012-09-06,33,78,5,28,11,28,12,2,1,0,4,14,1,0,0,0,1,0,0,3,11
10659,1968,Graduation,Divorced,79011.0,0,0,2013-07-26,41,1261,72,566,68,407,113,1,13,22,6,5,0,0,0,1,0,0,0,3,11
10660,1977,Graduation,Single,63014.0,1,0,2013-08-07,41,718,343,103,66,14,48,1,3,4,18,1,1,1,0,0,0,1,0,3,11
10661,1934,Master,Divorced,69230.0,1,0,2013-02-03,78,144,212,224,52,29,85,3,4,2,7,4,0,0,0,0,1,1,0,3,11
10662,1969,Graduation,Divorced,118333.0,0,0,2012-06-13,18,283,34,286,72,30,436,2,8,1,9,2,0,1,0,0,0,0,0,3,11
10663,1951,Graduation,Divorced,94490.0,0,0,2014-02-11,6,517,257,340,206,37,541,1,9,6,13,3,0,0,0,0,0,0,0,3,11
10664,1979,Graduation,Divorced,55147.0,1,0,2012-05-25,37,206,423,337,56,20,354,3,8,7,6,3,0,1,0,1,0,0,0,3,11
10665,1961,Master,Single,52074.0,1,1,2012-11-16,50,80,36,88,30,20,0,1,1,1,2,8,0,0,0,0,0,0,0,3,11
10666,1940,Graduation,Married,51369.0,1,0,2012-08-11,43,463,85,170,56,75,84,5,9,3,4,3,1,1,0,0,0,0,0,3,11
10667,1962,PhD,Widow,53329.0,1,0,2013-11-22,32,620,419,223,24,59,147,3,8,8,11,4,0,0,0,1,0,0,0,3,11
10668,1981,Graduation,Married,60732.0,0,1,2012-03-29,10,381,119,192,13,8,89,1,6,1,6,5,0,0,0,0,1,0,0,3,11
10669,1986,Graduation,Divorced,54404.0,1,0,2013-02-12,51,182,88,200,114,11,185,1,3,3,7,1,0,0,0,0,0,0,0,3,11
10670,1976,Master,Together,67093.0,0,0,2014-01-29,33,222,174,661,116,37,151,1,3,5,14,3,0,0,0,0,0,0,0,3,11
10671,1966,Master,Divorced,43127.0,1,1,2014-03-18,40,136,106,235,18,2,19,6,1,5,8,3,0,0,0,1,1,1,0,3,11
10672,1955,Master,Single,44459.0,1,0,2012-07-05,70,683,97,54,24,9,54,3,4,4,7,4,0,0,0,0,0,0,0,3,11
10673,1971,2n Cycle,Married,70070.0,0,1,2013-03-28,17,154,1,38,60,10,3,2,3,0,2,10,0,0,1,0,0,0,0,3,11
10674,1967,2n Cycle,Widow,30581.0,0,1,2013-03-15,49,78,14,147,3,37,4,8,3,1,1,7,0,0,0,0,0,0,0,3,11
10675,1992,Master,Divorced,50547.0,1,0,2012-10-20,42,639,32,111,40,17,5,3,4,2,6,9,0,0,1,1,0,0,0,3,11
10676,1943,Graduation,Together,57586.0,0,0,2013-12-23,76,182,182,225,51,82,148,5,4,4,9,4,0,0,0,0,0,0,0,3,11
10677,1980,Graduation,Together,88257.0,1,0,2013-10-15,25,405,121,90,49,173,157,1,6,5,6,5,0,0,0,0,0,0,0,3,11
10678,1962,Basic,Single,91170.0,0,0,2012-03-15,52,763,165,440,69,28,257,1,13,6,9,5,1,0,0,0,0,0,0,3,11
10679,1973,PhD,Divorced,72882.0,1,0,2014-02-13,23,544,247,504,3,1,150,2,4,8,17,8,0,0,0,1,1,1,0,3,11
10680,1956,PhD,Widow,62246.0,0,0,2012-11-25,46,717,192,473,61,12,315,1,5,3,25,7,1,0,0,0,0,0,0,3,11
10681,1967,PhD,Widow,78595.0,0,0,2014-02-04,65,266,261,629,165,7,410,1,11,6,6,4,0,0,0,0,0,1,0,3,11
10682,1983,Master,Married,72609.0,0,0,2013-11-19,6,895,40,351,155,30,436,2,13,6,14,0,0,0,0,0,0,1,0,3,11
10683,1977,PhD,Married,44495.0,1,0,2013-03-06,41,586,321,527,66,52,4,3,5,14,7,4,0,1,0,0,0,1,0,3,11
10684,1970,Graduation,Married,38900.0,0,2,2013-08-30,69,191,175,54,16,4,82,5,3,1,6,7,0,1,0,1,0,0,0,3,11
10685,1986,Graduation,Together,41505.0,0,0,2013-01-31,10,832,80,129,89,3,304,3,11,5,9,4,0,1,0,0,0,0,0,3,11
10686,1976,Graduation,Married,49896.0,1,0,2013-12-02,47,792,126,431,58,117,37,1,6,4,11,9,1,0,0,1,1,0,0,3,11
10687,1956,2n Cycle,Widow,46703.0,1,0,2012-05-14,39,323,6,211,15,16,4,2,3,4,9,3,0,0,0,0,1,0,0,3,11
10688,1982,Graduation,Divorced,32179.0,1,1,2013-06-28,39,114,2,55,1,2,41,3,3,4,1,8,0,0,0,0,0,0,0,3,11
10689,1966,2n Cycle,Married,41135.0,1,1,2012-02-05,48,115,9,107,67,6,54,6,3,1,1,9,0,0,1,0,0,0,0,3,11
10690,1982,PhD,Widow,69096.0,1,0,2013-10-11,27,699,66,198,149,32,83,2,4,6,10,2,0,0,0,0,1,1,0,3,11
10691,1957,2n Cycle,Divorced,62178.0,0,0,2014-04-18,69,129,51,95,28,6,52,3,1,0,3,6,0,0,0,0,0,0,0,3,11
10692,1981,2n Cycle,Together,75555.0,1,0,2013-11-15,37,250,149,401,50,26,140,5,4,4,10,4,0,0,0,0,0,1,0,3,11
10693,1968,Graduation,Together,81659.0,0,1,2013-10-14,88,578,52,67,27,92,299,2,3,7,8,5,0,0,0,0,0,0,0,3,11
10694,1954,PhD,Divorced,51980.0,0,0,2014-01-06,40,325,6,39,6,48,86,2,3,1,3,2,0,0,0,0,0,1,0,3,11
10695,1971,Master,Single,40378.0,0,1,2013-06-03,68,143,150,59,65,66,8,11,5,5,3,9,0,0,0,0,0,0,0,3,11
